Time,# of Counts Detected within Interval,CPM within Interval
1634786724.0370378,0,0.0
1634786729.0424597,0,0.0
1634786734.047881,1,12.0
1634786739.0533526,0,0.0
1634786744.0587716,1,12.0
1634786749.064159,2,24.0
1634786754.0695698,0,0.0
1634786759.0749815,0,0.0
1634786764.0803866,1,12.0
1634786769.0858083,1,12.0
1634786774.0912142,1,12.0
1634786779.0966308,2,24.0
1634786784.1020412,2,24.0
1634786789.1074564,0,0.0
1634786794.112863,1,12.0
1634786799.1136262,0,0.0
1634786804.119039,0,0.0
1634786809.1244743,3,36.0
1634786814.1298811,3,36.0
1634786819.1353,1,12.0
1634786824.1406772,4,48.0
1634786829.1460924,0,0.0
1634786834.1514924,1,12.0
1634786839.1535866,0,0.0
1634786844.1589932,1,12.0
1634786849.1644135,0,0.0
1634786854.1698222,1,12.0
1634786859.1752286,2,24.0
1634786864.180646,0,0.0
1634786869.1860511,3,36.0
1634786874.1914709,3,36.0
1634786879.1968784,1,12.0
1634786884.2022939,1,12.0
1634786889.2076943,2,24.0
1634786894.2131593,1,12.0
1634786899.2186582,1,12.0
1634786904.2240925,3,36.0
1634786909.2295039,0,0.0
1634786914.2335558,2,24.0
1634786919.2389627,1,12.0
1634786924.2443595,0,0.0
1634786929.2497623,1,12.0
1634786934.2551756,0,0.0
1634786939.2606027,0,0.0
1634786944.2660143,1,12.0
1634786949.2714303,1,12.0
1634786954.27685,1,12.0
1634786959.2822735,1,12.0
1634786964.2876966,1,12.0
1634786969.2931204,1,12.0
1634786974.2985308,3,36.0
1634786979.303944,1,12.0
1634786984.3093433,3,36.0
1634786989.314764,1,12.0
1634786994.3201697,1,12.0
1634786999.3255897,1,12.0
1634787004.330996,0,0.0
1634787009.336408,0,0.0
1634787014.3418164,3,36.0
1634787019.3472424,2,24.0
1634787024.3526542,2,24.0
